,national_id,main_name,hp,attack,defense,spatk,spdef,speed,ref,count_form
0,1,Bulbasaur,45,49,49,65,65,45,/pokedex/bulbasaur,1
1,2,Ivysaur,60,62,63,80,80,60,/pokedex/ivysaur,1
2,3,Venusaur,80,82,83,100,100,80,/pokedex/venusaur,2
3,3,Mega Venusaur,80,100,123,122,120,80,/pokedex/venusaur,2
4,4,Charmander,39,52,43,60,50,65,/pokedex/charmander,1
5,5,Charmeleon,58,64,58,80,65,80,/pokedex/charmeleon,1
6,6,Charizard,78,84,78,109,85,100,/pokedex/charizard,3
7,6,Mega Charizard X,78,130,111,130,85,100,/pokedex/charizard,3
8,6,Mega Charizard Y,78,104,78,159,115,100,/pokedex/charizard,3
9,7,Squirtle,44,48,65,50,64,43,/pokedex/squirtle,1
10,8,Wartortle,59,63,80,65,80,58,/pokedex/wartortle,1
11,9,Blastoise,79,83,100,85,105,78,/pokedex/blastoise,2
12,9,Mega Blastoise,79,103,120,135,115,78,/pokedex/blastoise,2
13,10,Caterpie,45,30,35,20,20,45,/pokedex/caterpie,1
14,11,Metapod,50,20,55,25,25,30,/pokedex/metapod,1
15,12,Butterfree,60,45,50,90,80,70,/pokedex/butterfree,1
16,13,Weedle,40,35,30,20,20,50,/pokedex/weedle,1
17,14,Kakuna,45,25,50,25,25,35,/pokedex/kakuna,1
18,15,Beedrill,65,90,40,45,80,75,/pokedex/beedrill,2
19,15,Mega Beedrill,65,150,40,15,80,145,/pokedex/beedrill,2
20,16,Pidgey,40,45,40,35,35,56,/pokedex/pidgey,1
21,17,Pidgeotto,63,60,55,50,50,71,/pokedex/pidgeotto,1
22,18,Pidgeot,83,80,75,70,70,101,/pokedex/pidgeot,2
23,18,Mega Pidgeot,83,80,80,135,80,121,/pokedex/pidgeot,2
24,19,Rattata,30,56,35,25,35,72,/pokedex/rattata,2
25,19,Alolan Rattata,30,56,35,25,35,72,/pokedex/rattata,2
26,20,Raticate,55,81,60,50,70,97,/pokedex/raticate,2
27,20,Alolan Raticate,75,71,70,40,80,77,/pokedex/raticate,2
28,21,Spearow,40,60,30,31,31,70,/pokedex/spearow,1
29,22,Fearow,65,90,65,61,61,100,/pokedex/fearow,1
30,23,Ekans,35,60,44,40,54,55,/pokedex/ekans,1
31,24,Arbok,60,95,69,65,79,80,/pokedex/arbok,1
32,25,Pikachu,35,55,40,50,50,90,/pokedex/pikachu,2
33,25,Partner Pikachu,45,80,50,75,60,120,/pokedex/pikachu,2
34,26,Raichu,60,90,55,90,80,110,/pokedex/raichu,2
35,26,Alolan Raichu,60,85,50,95,85,110,/pokedex/raichu,2
36,27,Sandshrew,50,75,85,20,30,40,/pokedex/sandshrew,2
